,id,learner_id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
75,74747,62d40f3f-79cf-4d26-8374-62c4929d01ce,2018-03-09 20:19:49 UTC,The course won’t help me reach my goals,2018-02-16 15:25:09 UTC,1.14,1.0,14.0
76,75185,6181fc90-dbd6-4ed2-a7c4-3caa55a2b604,2018-03-10 15:16:22 UTC,I don’t have enough time,2018-03-04 19:53:18 UTC,2.4,2.0,4.0
77,75804,d62d200b-76ac-4fc3-807d-27e74a014e4d,2018-03-11 11:01:09 UTC,Other,2018-03-11 10:59:51 UTC,3.2,3.0,20.0
78,75980,06534504-8d49-4aa8-9570-ad6b9b07a846,2018-03-11 15:03:55 UTC,Other,2018-03-03 16:49:40 UTC,3.2,3.0,20.0
79,76419,01b12f92-6da6-4d19-9caa-7c50d437a391,2018-03-12 01:18:24 UTC,The course won’t help me reach my goals,2018-03-09 01:08:06 UTC,3.1,3.0,10.0
80,76690,d1f53e00-4945-4ce1-b826-f1463b4919e8,2018-03-12 07:55:07 UTC,I don’t have enough time,2018-02-28 23:05:51 UTC,2.12,2.0,12.0
81,76838,85e63a69-35cb-4c0e-8f4e-c64b8fe952ae,2018-03-12 10:20:50 UTC,I don’t have enough time,,,,
82,77098,035c8a05-b3f7-49b9-9408-a74bd363a4af,2018-03-12 12:36:38 UTC,I prefer not to say,2018-03-12 12:35:14 UTC,2.8,2.0,8.0
83,77198,c5e3ed0a-9925-48fa-9f1e-ff18c41e9f0d,2018-03-12 14:13:28 UTC,Other,,,,
84,77717,cb606f96-99bc-4688-844b-64205ab08f13,2018-03-12 22:38:27 UTC,I prefer not to say,,,,
85,77955,174275c5-cdfd-4acb-867e-ca7a60becba2,2018-03-13 07:40:17 UTC,Other,2018-02-06 23:17:44 UTC,1.14,1.0,14.0
86,78063,1f22403d-24d0-4bb2-bb32-2c8b3ac30bbb,2018-03-13 10:50:20 UTC,Other,,,,
87,78200,532b41f3-e1ca-4f37-b420-41402eb166bb,2018-03-13 13:12:30 UTC,The course was too hard,,,,
88,78497,267be897-db6f-4748-b183-326f54ad6677,2018-03-13 17:39:55 UTC,I don’t have enough time,2018-02-17 19:40:03 UTC,1.14,1.0,14.0
89,78590,3b88b399-4bd1-4a05-ba0e-b9d25feb67c4,2018-03-13 19:01:21 UTC,I prefer not to say,,,,
90,78642,ca78042e-ba31-472f-8d58-2fca5a5cd995,2018-03-13 20:04:20 UTC,I don’t have enough time,2018-03-10 06:55:36 UTC,2.17,2.0,17.0
91,78960,d07516c0-6d4f-443b-a74a-638b851e6f27,2018-03-14 05:12:47 UTC,I prefer not to say,,,,
92,79187,8cc21755-7641-4c06-892b-bf00846ecccf,2018-03-14 09:54:45 UTC,Other,2018-03-11 11:50:31 UTC,1.13,1.0,13.0
93,79257,663452de-00d8-4c0d-b805-267970a92832,2018-03-14 11:11:27 UTC,The course wasn’t what I expected,2018-03-09 22:03:16 UTC,1.19,1.0,19.0
94,79501,4e18647d-ca19-414c-9fb6-ab7b04b57349,2018-03-14 15:01:43 UTC,The course required more time than I realised,2018-03-07 17:21:34 UTC,1.9,1.0,9.0
95,80038,f411190f-5ee8-4426-a75d-39aad0dbc9dd,2018-03-15 10:14:34 UTC,The course required more time than I realised,,,,
96,80111,c77994b4-d0db-438a-9092-86ded7487e93,2018-03-15 11:34:20 UTC,Other,,,,
